CTONT	biolink:NamedThing
CTP	biolink:NamedThing
CTX	biolink:NamedThing
CU-VO	biolink:NamedThing
CVAO	biolink:NamedThing
CVDO	biolink:NamedThing
CWD	biolink:NamedThing
CYTO	biolink:NamedThing
DATACITE	biolink:NamedThing
DATACITE-VOCAB	biolink:NamedThing
DC	biolink:NamedThing
DCAT	biolink:NamedThing
DCAT-FDC	biolink:NamedThing
DCCDFV	biolink:NamedThing
DCM	biolink:NamedThing
DCMITYPE	biolink:NamedThing
DCO	biolink:NamedThing
DCT	biolink:NamedThing
DCTERMS	biolink:NamedThing
DDANAT	biolink:NamedThing
DDI	biolink:NamedThing
DDIEM	biolink:NamedThing
DDPHENO	biolink:NamedThing
DEB	biolink:NamedThing
DERMLEX	biolink:NamedThing
DERMO	biolink:NamedThing
DFO	biolink:NamedThing
DIAB	biolink:NamedThing
DIAGONT	biolink:NamedThing
DIDEO	biolink:NamedThing
DIKB	biolink:NamedThing
DILON	biolink:NamedThing
DINTO	biolink:NamedThing
DISDRIV	biolink:NamedThing
DLORO	biolink:NamedThing
DMTO	biolink:NamedThing
DOCCC	biolink:NamedThing
DOID	biolink:NamedThing
DOREMUS-KEYS	biolink:NamedThing
DPO	biolink:NamedThing
DRANPTO	biolink:NamedThing
DREAMDNPTO	biolink:NamedThing
DRON	biolink:NamedThing
DRPSNPTO	biolink:NamedThing
DSEO	biolink:NamedThing
DTO	biolink:NamedThing
DUO	biolink:NamedThing
E-PPO	biolink:NamedThing
EBP	biolink:NamedThing
ECAO	biolink:NamedThing
ECG	biolink:NamedThing
ECO	biolink:NamedThing
ECOCORE	biolink:NamedThing
ECP	biolink:NamedThing
ECSO	biolink:NamedThing
ECTO	biolink:NamedThing
EDAM	biolink:NamedThing
EDAM-BIOIMAGING	biolink:NamedThing
EDDA	biolink:NamedThing
EDDA_PT	biolink:NamedThing
EFO	biolink:NamedThing
EGO	biolink:NamedThing
EHDA	biolink:NamedThing
EHDAA	biolink:NamedThing
EHDAA2	biolink:NamedThing
ELD	biolink:NamedThing
ELECTRICA	biolink:NamedThing
ELIG	biolink:NamedThing
ELTER_CL	biolink:NamedThing
EMAP	biolink:NamedThing
EMAPA	biolink:NamedThing
EMIF-AD	biolink:NamedThing
EMO	biolink:NamedThing
ENM	biolink:NamedThing
ENTITY	biolink:NamedThing
ENVO	biolink:NamedThing
ENVS_VARIABLES	biolink:NamedThing
ENVTHES	biolink:NamedThing
EO	biolink:NamedThing
EO1	biolink:NamedThing
EOL	biolink:NamedThing
EP	biolink:NamedThing
EPIE	biolink:NamedThing
EPILONT	biolink:NamedThing
EPIO	biolink:NamedThing
EPIP	biolink:NamedThing
EPISEM	biolink:NamedThing
EPO	biolink:NamedThing
EPSO	biolink:NamedThing
ERO	biolink:NamedThing
ESFO	biolink:NamedThing
ESSO	biolink:NamedThing
ETANC	biolink:NamedThing
ETHANC	biolink:NamedThing
ETHOPD	biolink:NamedThing
EUPATH	biolink:NamedThing
EVI	biolink:NamedThing
EXACT	biolink:NamedThing
EXMO	biolink:NamedThing
